constraint_name,category,cluster,is_system_boundary,primary_variables,description,shadow_price_interpretation,notes
constraint_nodal_energy_balance,operation,energy_balance,no,"flow_conversion_output, flow_transport, flow_storage_discharge, shed_demand, demand","Supply must equal demand for each carrier at each node and time step","Marginal cost of meeting one additional GWh of demand at that node/time","Core constraint of every energy model; shadow price = locational marginal price (LMP)"
constraint_carrier_conversion,operation,dispatch,no,"flow_conversion_input, flow_conversion_output, capacity","Output flow <= capacity * max_load; links dispatch to installed capacity","Value of 1 GW more conversion capacity (operational bound only)","Different from capacity_limit — this is the operational capacity factor constraint"
constraint_capacity_factor_conversion,operation,dispatch,no,"flow_conversion_input, flow_conversion_output, capacity","Flow limited to installed capacity times availability factor at each time step","—","Binds when technology runs at full capacity"
constraint_capacity_factor_storage,operation,dispatch,no,"flow_storage_charge, flow_storage_discharge, capacity","Charge/discharge flow limited to power capacity","—","—"
constraint_capacity_factor_transport,operation,dispatch,no,"flow_transport, capacity","Transport flow limited to installed transport capacity","—","Interconnector utilization constraint"
constraint_minimum_full_load_hours,operation,dispatch,no,"flow_conversion_output, capacity","Technology must produce at least a minimum number of full-load hours per year","—","Used for must-run or baseload technologies"
constraint_couple_storage_level,operation,storage,no,"storage_level, flow_storage_charge, flow_storage_discharge","Storage level at next time step = current level + charge - discharge (energy balance)","—","Time-linking constraint for storage"
constraint_storage_level_max,operation,storage,no,"storage_level, capacity_energy","Storage level cannot exceed installed energy capacity","—","—"
constraint_flow_storage_spillage,operation,storage,no,"flow_storage_spillage, storage_level","Spillage limited to current storage level","—","—"
constraint_charge_storage_binary,operation,storage,no,"flow_storage_charge, binary_storage","Charge flow only when binary = 1 (no simultaneous charge and discharge)","—","Only active if binary storage formulation used"
constraint_discharge_storage_binary,operation,storage,no,"flow_storage_discharge, binary_storage","Discharge flow only when binary = 0","—","Only active if binary storage formulation used"
constraint_transport_technology_losses_flow,operation,transport,no,"flow_transport_in, flow_transport_out","Output flow = input flow * (1 - loss_factor * distance)","—","Models resistive/friction losses on pipelines and power lines"
constraint_retrofit_flow_coupling,operation,dispatch,no,"flow_conversion_base, flow_conversion_retrofit","Retrofit technology output coupled to base technology operation","—","Links CCS retrofit dispatch to host plant dispatch"
constraint_technology_on_off_capacity_helper,operation,dispatch,no,"capacity_helper, capacity","Helper variable linking on/off binary to capacity","—","Only active for on/off (binary) technologies"
constraint_technology_on_off_capacity_helper_lower_bound,operation,dispatch,no,"capacity_helper, capacity, binary","Lower bound on capacity when technology is on","—","—"
constraint_technology_on_off_capacity_helper_upper_bound,operation,dispatch,no,"capacity_helper, capacity, binary","Upper bound on capacity when technology is on","—","—"
constraint_technology_on_off_operation_lower_bound,operation,dispatch,no,"flow_conversion, capacity, binary","Minimum load when technology is on (min-load constraint)","—","—"
constraint_technology_on_off_operation_upper_bound,operation,dispatch,no,"flow_conversion, capacity, binary","Maximum load when technology is on (max-load constraint)","—","—"
constraint_limit_shed_demand,operation,dispatch,no,"shed_demand, demand","Shed demand limited to max_shed_demand fraction of total demand","—","Prevents unbounded unmet demand"
constraint_technology_lifetime,investment,lifetime,no,"capacity, capacity_addition, existing_capacity","Capacity in year y = existing + sum of all capacity_additions within depreciation period","Shadow price = value of 1 GW free capacity for that tech/node/year","Key constraint for RC dual-based computation"
constraint_technology_lifetime_previous,investment,lifetime,no,"capacity, capacity_addition","Accounts for capacity additions made before the model horizon","—","Handles pre-existing investments whose lifetime extends into horizon"
constraint_technology_construction_time,investment,lifetime,no,"capacity_addition, construction_helper","Delays capacity availability by construction_time years","—","—"
constraint_technology_construction_time_outside,investment,lifetime,no,"capacity_addition","Handles construction decisions made before model start","—","—"
constraint_capacity_coupling,investment,capex,no,"capacity, capacity_addition, capacity_approximation","Equality: capacity_addition = capacity_approximation (linearization helper)","—","Part of piecewise-linear CAPEX approximation"
constraint_capex_coupling,investment,capex,no,"cost_capex_overnight, capex_approximation","Equality: cost_capex_overnight = capex_approximation","—","Part of piecewise-linear CAPEX approximation"
constraint_linear_capex,investment,capex,no,"cost_capex_overnight, capacity_addition, capex_specific","cost_capex_overnight = capex_specific * capacity_addition","—","Simple linear CAPEX; used when no piecewise approximation"
